,b0_level,b1_slope,b2_curvature,lambda
2018-07-06,0.029112215008783332,-0.011017751288474887,-0.00015110606668806737,1.3896957622952273
2018-07-09,0.02946512194991055,-0.011311331646148256,0.00012097901292934535,1.3577212773740166
2018-07-10,0.029555601997260542,-0.011402394193416245,6.329026608169998e-05,1.430774678700223
2018-07-11,0.02936056407016037,-0.011205258821045921,0.00011200085645429901,1.414480100116101
2018-07-12,0.02929396077008044,-0.011178602199219196,-8.366846631627172e-05,1.5977137262813816
2018-07-13,0.02909434165958542,-0.011085257480536166,6.650870947404632e-05,1.5807669127333177
2018-07-16,0.02934258470549189,-0.010896194106589069,-4.024723895519795e-05,1.490674582405389
2018-07-17,0.029465551546375705,-0.01084387373638646,-0.0001296590009341685,1.4897597734101573
2018-07-18,0.02960158794464352,-0.011306520846996144,-0.00011332021048320342,1.5384791110706433
2018-07-19,0.02927018409759055,-0.011057477643505835,0.00012480162701814816,1.5395550692614028
2018-07-20,0.029872718536736093,-0.011790207830241846,6.01025277297824e-05,1.4279710764500329
2018-07-23,0.0307211685062219,-0.01243767903388866,-0.0003874447257372031,1.3458667769453287
2018-07-24,0.030585736733940997,-0.011945931613649445,-0.0001704363752856265,1.2988506224006076
2018-07-25,0.030342108232413366,-0.012007621337349023,-0.00017639897373114538,1.4722081164422718
2018-07-26,0.030868079661027926,-0.012755362018553033,-0.00011192565873891191,1.4301063016056013
2018-07-27,0.03061995623699934,-0.012341158061194056,0.0001477840336587774,1.4141714904824252
2018-07-30,0.03088253651283781,-0.012252583357419267,-4.059492223045396e-05,1.3130156846549157
2018-07-31,0.030626328504115938,-0.011944220994597854,3.406123299423136e-05,1.3792777163070171
2018-08-01,0.03110019698444302,-0.012397078118434074,-0.00013519636655622515,1.3104870774093726
2018-08-02,0.030860226729554605,-0.012419213591632988,0.00017336960238157758,1.3455355656671635
2018-08-03,0.03058164097029093,-0.012019382347465964,4.456118247889599e-05,1.3200930615285742
2018-08-06,0.030416822150784322,-0.011576774761645913,0.00013058290700902005,1.3119340293596544
2018-08-07,0.03087883605215535,-0.011779826957882178,-0.0004795827928510513,1.306534950563275
2018-08-08,0.030751394061458357,-0.011894880581327733,-0.00014056332688558077,1.3579926769612312
2018-08-09,0.030318108520964962,-0.01152450319975887,5.795921501758308e-05,1.3922590415295222
2018-08-10,0.029724834842837715,-0.010814774799175595,0.00010312596520381837,1.3527275498904159
2018-08-13,0.02988441253572617,-0.010832301900282743,0.00015853412790633447,1.2571311207082865
2018-08-14,0.030021970642972927,-0.010714226058653482,-3.78969356777529e-05,1.2930242226351165
2018-08-15,0.029634730840322986,-0.010365939364633033,6.433571063087603e-05,1.323833467990552
2018-08-16,0.029666232965243955,-0.01050351083551607,-0.0001244633546342678,1.441451394300959
2018-08-17,0.029686765115499905,-0.010610225981048311,-4.958129256707213e-06,1.374983317308858
2018-08-20,0.029126977985541237,-0.010141708734220116,3.741903493089005e-05,1.5023085653175228
2018-08-21,0.029350657958504535,-0.010255431721742684,-3.913075705042907e-05,1.509974064629618
2018-08-22,0.029136129703479924,-0.009891375343632582,4.329408775770574e-05,1.4369061301538204
2018-08-23,0.029106645136823622,-0.01008379513214965,1.3350597697125585e-05,1.5326381602766943
2018-08-24,0.029005755577635066,-0.010004329269718957,-0.00017696232882169678,1.736406015961834
2018-08-27,0.02930548181421776,-0.010217793677604368,-3.267930826576928e-05,1.7378466327973028
2018-08-28,0.02965902281269199,-0.010429811818967856,0.0002176481951485189,1.604991666648977
2018-08-29,0.02969233785077011,-0.010438477548603645,-5.01801930860672e-05,1.6763913938345827
2018-08-30,0.029410607024766867,-0.010122686895329497,-5.417098227635847e-05,1.6368411977183153
2018-08-31,0.029504975090094136,-0.010210612618794811,-0.00023622292674944326,1.5443914850749243
2018-09-03,0.029504975090094136,-0.010210612618794811,-0.00023622292674944326,1.5443914850749243
2018-09-04,0.030002964244208726,-0.01030100672299098,-1.8654036535102863e-05,1.4006224631323623
2018-09-05,0.030061445167979775,-0.01019962224726713,1.6065841829233766e-05,1.3240468955552167
2018-09-06,0.02979502470532921,-0.010169333105516792,9.850599262507698e-05,1.4339888139757249
2018-09-07,0.03032855539716451,-0.010961784904860411,0.00015601682802857112,1.5926541395082598
2018-09-10,0.030203469257337627,-0.01100399059793475,-0.00023680412050367604,1.8412261654801587
2018-09-11,0.030743204956020374,-0.011221910673537052,-0.00010158804610714365,1.6440143164959218
2018-09-12,0.030527938722619566,-0.01101192526285421,-3.19830243197206e-05,1.7273011235381792
2018-09-13,0.03053959790070355,-0.011147903244117631,-0.0002268846840771867,1.8093277260420315
2018-09-14,0.03083991840016399,-0.011318578112911315,0.00010658676044419562,1.6864146685028147
2018-09-17,0.03077744643580143,-0.011300495625813856,-0.00018901663471587726,1.8163376029450866
2018-09-18,0.0315138824774964,-0.011663486077778354,-5.105244749223827e-05,1.551613278269829
2018-09-19,0.031830506828384106,-0.012110837106426485,0.00011867679039572129,1.4764833029735005
2018-09-20,0.03166760002091209,-0.011939654834486566,-0.00012146134208080168,1.5737111727374056
2018-09-21,0.0316128705335151,-0.01167945841927406,-0.0001805725397452596,1.5578610975207046
2018-09-24,0.03170707297592129,-0.011495832499636354,-0.0003357671309346937,1.557990534770155
2018-09-25,0.032039089528651817,-0.011467865474694848,0.00011520588794969331,1.3301301496603706
2018-09-26,0.03160282723209017,-0.011215401940389244,-8.381268258971143e-06,1.4515500082535275
2018-09-27,0.031557287903748676,-0.011328625801205888,0.00022171703500085174,1.4645276459546046
2018-09-28,0.031524579978222236,-0.011054823755285466,9.491613144786134e-05,1.389990387009563
2018-10-01,0.031996767679386855,-0.011182036389741398,9.865988567948273e-05,1.2809231337766036
2018-10-02,0.031523028354220654,-0.010670070015827069,5.985712076435405e-05,1.4015677808369065
2018-10-03,0.03271004500099872,-0.01175663526816907,-0.00010153323622987689,1.2159088795827997
2018-10-04,0.03321679173735144,-0.012235854592670988,-0.00012162212597559523,1.1736047769300606
2018-10-05,0.03374717949064228,-0.012777657573574935,4.27760662587771e-05,1.0938387464133248
2018-10-08,0.03374717949064228,-0.012777657573574935,4.27760662587771e-05,1.0938387464133248
2018-10-09,0.03334578358560353,-0.012072377109984074,4.527181513258564e-05,1.139042978960743
2018-10-10,0.03355587417797415,-0.0120689255666531,3.7803198066049914e-05,1.061874478235596
2018-10-11,0.032638396049787105,-0.011492207778931545,-0.00010518320497051915,1.2555206544068664
2018-10-12,0.0326907882726776,-0.011463930263180148,9.914483230225756e-05,1.1950456983101392
2018-10-15,0.032862541015438465,-0.01124020466474146,2.5718588758303036e-05,1.1360413443371031
2018-10-16,0.032785814988147734,-0.01118304745155602,-2.2929173334629297e-05,1.1786062163971753
2018-10-17,0.033130925779105425,-0.011416613310181557,0.0001648185117543656,1.116352757180848
2018-10-18,0.03305612121517642,-0.011269138275355563,-0.00020364978824052648,1.115953391103181
2018-10-19,0.03328945909002954,-0.011667332404550182,-0.0002479300535976495,1.203280533050696
2018-10-22,0.03323520087008291,-0.011543305063977966,7.617260693654307e-05,1.19312894928578
2018-10-23,0.033073368205022616,-0.011080938864440556,-0.00017335368182315905,1.0820524003901437
2018-10-24,0.03258063736307528,-0.010344757761729375,6.86539000775798e-05,0.9190698391847297
2018-10-25,0.03284577921316777,-0.010840574716162198,-0.00015587369338587693,1.036052452655071
2018-10-26,0.03251139603855064,-0.010351182444327034,-7.465997468902088e-05,0.8603368118474016
2018-10-29,0.03248888018282579,-0.010184303667923158,3.528383000978599e-05,0.8564612564921893
2018-10-30,0.03288118941305114,-0.010469204566281911,9.803934962354206e-05,0.8395515794627904
2018-10-31,0.0331443672777147,-0.010932943726202583,-0.00028559833772930977,0.9795072789093067
2018-11-01,0.033150175862988795,-0.010804558692292618,1.9464697583364644e-05,0.8503380595899207
2018-11-02,0.033887834676978174,-0.011838169843336641,-0.00015053153256906488,0.9757601687114447
